species	n_experts
Myiopsitta monachus	5
Capra hircus	4
Herpestes auropunctatus	4
Iguana iguana	4
Molothrus bonariensis	4
Procyon lotor	4
Anolis carolinensis	3
Anolis equestris	3
Aratinga erythrogenys	3
Canis familiaris	3
Python molurus bivittatus	3
Ramphotyphlops braminus	3
Rattus norvegicus	3
Rattus rattus	3
Sus scrofa	3
Trachemys scripta	3
Acridotheres cristatellus	2
Acridotheres tristis	2
Amazona ochrocephala	2
Anolis grahami	2
Anolis sagrei	2
Aratinga pertinax	2
Cyclura nubila	2
Elaphe guttata	2
Eleutherodactylus cocqui	2
Felis catus	2
Gallus gallus	2
Gastrophryne carolinensis	2
Hemidactylus frenatus	2
Mustela erminea	2
Mustela nivalis	2
Passer domesticus	2
Pitangus sulphuratus	2
Psittacula krameri	2
Sturnus vulgaris	2
Amazona auropalliata	1
Anas platyrhynchos	1
Aratinga solstitialis	1
Axis axis	1
Belonesox belizanus	1
Boa constrictor imperator	1
Boiga irregularis	1
Bufo marinus	1
Caiman crocodilus	1
Callosciurus erythreaus	1
Callosciurus finlaysonii	1
Chiloscyllium punctatum	1
Chrysemys picta	1
Dasyprocta punctata	1
Estrilda astrild	1
Forpus passerinus	1
Gambusia sp.	1
Herpestes javanicus	1
Lampropeltis getula	1
Lepidodacylus lugubris	1
Lonchura malacca	1
Lonchura punctulata	1
Mus musculus	1
Oreochromis sp.	1
Oreochromis spp.	1
Oryctolagus cuniculus	1
Osteopilus septentrionalis	1
Pantherophis guttatus	1
Physignathus cocincinus	1
Platax orbicularis	1
Psittacula eupatria	1
Pycnonotus cafer	1
Python regius	1
Streptopelia decaocto	1
Tiaris olivacea	1
Tilapia sp.	1
Tilapia zillii	1
Trichosurus vulpecula	1
