species	AI	BM	KY	MS	TC	VG	organism_type	synonyms	common_names	broad_habitat	exotic_in	invasive_in	main_reference	checklist	origin	phylum
Acanthogobius flavimanus	NA	NA	NA	NA	NA	NA	Vertebrate - Fish	NA	NA	Marine	Mexico;Florida;	Florida;	"CABI,2012. Acanthogobius flavimanus. In: Invasive Species
Compendium. Wallingford, UK: CAB International.
http://www.cabi.org/isc."	Caribbean_IAS_db	NA	NA
Aceria anonae	NA	NA	NA	NA	NA	NA	Invertebrate - Mite	NA	Acaro de la guanabana (DR);	Terrestrial	Dominican Republic;	Dominican Republic;	"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"	Caribbean_IAS_db	NA	NA
Aceria guerreronis	NA	NA	NA	NA	NA	NA	Invertebrate - Mite	NA	Acaro del coco (DR);coconut mite	Terrestrial	Dominican Republic;	Dominican Republic;	"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"	Caribbean_IAS_db	NA	NA
Achatina fulica	NA	NA	NA	NA	NA	NA	"Invertebrate -
Mollusc"	Lissachatina fulica	Giant African Land Snail;	Terrestrial	"Barbados;Anguilla;Bermuda;Martinique;St. Lucia;Trinidad-Tobago;
Guadeloupe;St. Martin (France);Venezuela;"	"Barbados;Anguilla;Bermuda;Guadeloupe;Martinique;St. Lucia;Trinidad-
Tobago;Venezuela;"	"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"	Caribbean_IAS_db	NA	NA
Acromyrmex octospinosus	NA	NA	NA	NA	NA	NA	"Invertebrate -
Insect"	NA	NA	NA	Guadeloupe;	Guadeloupe;	"ISSG, 2011. Global Invasive Species Database (GISD). Invasive
Species Specialist Group of the IUCN Species Survival Commission.
http://www.issg.org/database"	Caribbean_IAS_db	NA	NA
Aculops lycopersici	NA	NA	NA	NA	NA	NA	Invertebrate - Mite	NA	Tomato russet mite	Terrestrial	Barbados;	Barbados	"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"	Caribbean_IAS_db	NA	NA
Aedes aegypti	17	NA	6	7	NA	4	"Invertebrate -
Insect"	NA	NA	NA	"Anguilla;Montserrat;British Virgin Islands;Turks and Caicos Islands;Cayman Islands;
Haiti;Dominican Republic;Puerto Rico;US Virgin Islands;Aruba; Martinique; St.
Lucia;St. Vincent- Grenadines;Grenada;Barbados;Trinidad-Tobago;
Dominica;Guadeloupe;Antigua-Barbuda;St. Kitts-Nevis;Bahamas;Cuba;St.
Martin (France);Venezuela;Guyana;Suriname;"	Cayman Islands;	"ISSG, 2011. Global Invasive Species Database (GISD). Invasive
Species Specialist Group of the IUCN Species Survival Commission.
http://www.issg.org/database"	Caribbean_IAS_db	NA	NA
Aedes albopictus	NA	1	15	NA	NA	NA	"Invertebrate -
Insect"	NA	Asian tiger mosquito (ISC)	NA	Cayman Islands;Dominican Republic;Barbados;Trinidad-Tobago;Cuba;	Dominican Republic;Cuba;Cayman Islands;	"ISSG, 2011. Global Invasive Species Database (GISD). Invasive
Species Specialist Group of the IUCN Species Survival Commission.
http://www.issg.org/database"	Caribbean_IAS_db	NA	NA
Agapornis fischeri	NA	NA	NA	NA	NA	NA	Vertebrate - Bird	NA	Fishers Lovebird	Terrestrial	Antigua-Barbuda;	NA	"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"	Caribbean_IAS_db	NA	NA
Aleurocanthus woglumi	NA	NA	NA	NA	NA	NA	"Invertebrate -
Insect"	NA	Citrus blackfly;Mosca negra de los citricos (DR);	Terrestrial	Jamaica;Bahamas Islands;Dominican Republic;	Jamaica;Dominican Republic;	"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"	Caribbean_IAS_db	NA	NA
Aleurodicus dispersus	NA	NA	NA	NA	NA	NA	"Invertebrate -
Insect"	NA	Spiraling whitefly;	Terrestrial	Bahamas Islands;	Bahamas Islands;	"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"	Caribbean_IAS_db	NA	NA
Aleurothrixus floccosus	NA	NA	NA	NA	NA	NA	"Invertebrate -
Insect"	NA	Woolly whitefly;	Terrestrial	Bahamas Islands;	Bahamas Islands;	"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"	Caribbean_IAS_db	NA	NA
Allotrope sp.	NA	NA	NA	NA	NA	NA	"Invertebrate -
Insect"	NA	NA	Terrestrial	Bahamas Islands;	NA	"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"	Caribbean_IAS_db	NA	NA
Amazona ochrocephala	NA	NA	41	NA	NA	NA	Vertebrate - Bird	NA	"yellow-crowned amazon parrot;yellow -crowned
parrot;"	Terrestrial	Curacao;Trinidad?	NA	"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"	Caribbean_IAS_db	NA	NA
Amblyomma variegatum	NA	NA	NA	NA	NA	NA	Invertebrate - Tick	NA	Tropical bont tick	NA	Guadeloupe;St. Vincent;Antigua;St. Croix;	NA	"Barré N, Garris G and Camus E. ""Propagation of the tick
Amblyomma variegatum in the Caribbean."" Rev Sci Tech. 1995
Sep;14(3):841-55. Abstract.
<http://www.ncbi.nlm.nih.gov/pubmed/8593414> Aug. 13."	Caribbean_IAS_db	NA	NA
Ameiurus nebulosus	NA	NA	NA	NA	NA	NA	Vertebrate - Fish	NA	Brown Bullhead(ISC)	NA	Puerto Rico;Netherlands Antilles;	NA	"ISSG, 2011. Global Invasive Species Database (GISD). Invasive
Species Specialist Group of the IUCN Species Survival Commission.
http://www.issg.org/database"	Caribbean_IAS_db	NA	NA
Amerianna carinata	NA	NA	NA	NA	NA	NA	"Invertebrate -
Mollusc"	NA	NA	Freshwater	Martinique;	NA	"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"	Caribbean_IAS_db	NA	NA
Ammotrechella stimpsoni	NA	NA	NA	NA	NA	NA	"Invertebrate -
Solifugid
(wind scorpion)"	NA	Caribbean solifugid;	Terrestrial	Bahamas Islands;	NA	"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"	Caribbean_IAS_db	NA	NA
Amphiprion sp.	NA	NA	NA	NA	NA	NA	Vertebrate - Fish	NA	Clown fish (Bahamas Islands);	Marine	Bahamas Islands;	Bahamas Islands;	"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"	Caribbean_IAS_db	NA	NA
Ampullaria glauca	NA	NA	NA	NA	NA	NA	"Invertebrate -
Mollusc"	NA	Caracol del arroz (Dom Rep);	Terrestrial	Dominican Republic;Haiti;	Dominican Republic;Haiti;	"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"	Caribbean_IAS_db	NA	NA
Anas platyrhynchos	NA	1857	NA	NA	NA	NA	Vertebrate - Bird	NA	NA	NA	Cayman Islands;Bermuda;	NA	"ISSG, 2011. Global Invasive Species Database (GISD). Invasive
Species Specialist Group of the IUCN Species Survival Commission.
http://www.issg.org/database"	Caribbean_IAS_db	NA	NA
Anastrepha obliqua	NA	NA	NA	NA	NA	NA	"Invertebrate -
Insect"	NA	West Indian fruit fly;	Terrestrial	"Dominican Republic;Barbados;Antigua-
Barbuda;Dominica;Guadeloupe;Monsterrat;Netherlands Antilles;St. Lucia;St.
Kitts-Nevis;St. Vincent-Grenadines;"	"Dominican Republic;Barbados;Antigua-
Barbuda;Dominica;Guadeloupe;Monsterrat;Netherlands Antilles;St. Lucia;St. Kitts-
Nevis;St. Vincent-Grenadines;"	"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"	Caribbean_IAS_db	NA	NA
Anastrepha suspensa	NA	NA	NA	NA	NA	NA	"Invertebrate -
Insect"	NA	Caribbean fruit fly;	Terrestrial	Bahamas Islands;	NA	"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"	Caribbean_IAS_db	NA	NA
Anodonta sp.	NA	NA	NA	NA	NA	NA	"Invertebrate -
Mollusc"	NA	Caracol (Dom Rep);	Freshwater	Dominican Republic;	Dominican Republic;	"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"	Caribbean_IAS_db	NA	NA
Anolis aeneus	NA	6	NA	NA	NA	9	Vertebrate - Reptile	NA	NA	Terrestrial	Trinidad-Tobago;Guyana;	Trinidad-Tobago;	"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"	Caribbean_IAS_db	NA	NA
Anolis carolinensis	2	1	1	NA	1	NA	Vertebrate - Reptile	NA	NA	Terrestrial	Anguilla;Cayman Islands;	Anguilla;	"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"	Caribbean_IAS_db	NA	NA
Anolis cristatellus	NA	NA	NA	NA	NA	1252	Vertebrate - Reptile	NA	NA	Terrestrial	Dominica;Dominican Republic;	Dominica;Dominican Republic;	"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"	Caribbean_IAS_db	NA	NA
Anolis distichu	NA	NA	NA	NA	NA	NA	Vertebrate - Reptile	NA	NA	NA	Bahamas Islands;	NA	"ISSG, 2011. Global Invasive Species Database (GISD). Invasive
Species Specialist Group of the IUCN Species Survival Commission.
http://www.issg.org/database"	Caribbean_IAS_db	NA	NA
Anolis equestris	NA	NA	NA	NA	NA	NA	Vertebrate - Reptile	NA	NA	NA	Cayman Islands;	NA	"ISSG, 2011. Global Invasive Species Database (GISD). Invasive
Species Specialist Group of the IUCN Species Survival Commission.
http://www.issg.org/database"	Caribbean_IAS_db	NA	NA
Anolis extremus	NA	33	NA	NA	NA	NA	Vertebrate - Reptile	NA	NA	Terrestrial	Trinidad-Tobago;Bermuda;St. Lucia;Venezuela;	Trinidad;St. Lucia;Venezuela; Bermuda;	"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"	Caribbean_IAS_db	NA	NA
Anolis garmani	NA	NA	NA	NA	NA	NA	Vertebrate - Reptile	NA	NA	NA	Cayman Islands;	Cayman Islands;	"ISSG, 2011. Global Invasive Species Database (GISD). Invasive
Species Specialist Group of the IUCN Species Survival Commission.
http://www.issg.org/database"	Caribbean_IAS_db	NA	NA
Anolis leachii	NA	56	NA	NA	NA	NA	Vertebrate - Reptile	NA	NA	NA	Bermuda;	Bermuda;	"ISSG, 2011. Global Invasive Species Database (GISD). Invasive
Species Specialist Group of the IUCN Species Survival Commission.
http://www.issg.org/database"	Caribbean_IAS_db	NA	NA
