species	experts	remarks	AI	BM	KY	MS	TC	VG
Acridotheres cristatellus	Tim_Adriaens,Jane_Haakonsson_Sophie_O’Hehir		2	2	2	2	2	2
Acridotheres tristis	Tim_Adriaens,Jane_Haakonsson_Sophie_O’Hehir	interisland transfer e.g. Maynardi	2	2	2	2	2	2
Amazona auropalliata	Fred_Burton,Jane_Haakonsson_Sophie_O’Hehir		2	2	2	2	2	2
Amazona ochrocephala	Fred_Burton,Jane_Haakonsson_Sophie_O’Hehir	Hybridization risk	2	2	NA	2	2	2
Amazona sp.	Bryan_Manco		NA	NA	NA	NA	1	NA
Anas platyrhynchos	Fred_Burton		1	NA	NA	1	1	1
Anolis carolinensis	Elena_Tricarico		NA	NA	1	NA	NA	NA
Anolis carolinensis	Fred_Burton,Tim_Adriaens	moderate impact	2	NA	NA	NA	NA	NA
Anolis carolinensis	Fred_Burton,Tim_Adriaens,Elena_Tricarico	moderate impact	NA	3	NA	3	3	3
Anolis equestris	Fred_Burton,Tim_Adriaens,Jane_Haakonsson_Sophie_O’Hehir	high impact on KY, Recorded in GCM, knight anole	3	3	NA	3	3	3
Anolis equestris	Jason_Berry		NA	NA	1	NA	NA	NA
Anolis grahami	Fred_Burton,Tim_Adriaens		2	NA	2	2	2	2
Anolis sagrei	Fred_Burton,Tim_Adriaens	high impact on KY, nb native subspp in CYB	2	2	NA	2	NA	NA
Aratinga erythrogenys	Fred_Burton,Tim_Adriaens,Jane_Haakonsson_Sophie_O’Hehir	present on KY	3	3	NA	3	3	3
Aratinga pertinax	Fred_Burton,Jane_Haakonsson_Sophie_O’Hehir		2	2	2	2	2	2
Aratinga solstitialis	Jane_Haakonsson_Sophie_O’Hehir		1	1	1	1	1	1
Atelerix albiventris	Bryan_Manco		NA	NA	NA	NA	1	NA
Atelerix algirus	Bryan_Manco		NA	NA	NA	NA	1	NA
Atelerix hybrid	Bryan_Manco		NA	NA	NA	NA	1	NA
Boa constrictor imperator	Jason_Berry		NA	NA	1	NA	NA	NA
Boa constrictor imperator	Latisha_Martin		NA	NA	NA	NA	NA	1
Boa constrictor imperator	Mark_Outerbridge		NA	1	NA	NA	NA	NA
Boiga irregularis	Tim_Adriaens		1	1	1	1	1	1
Bos taurus	Bryan_Manco		NA	NA	NA	NA	1	NA
Bufo marinus	Elena_Tricarico		NA	NA	NA	1	NA	NA
Bufo marinus	Jane_Haakonsson_Sophie_O’Hehir		NA	NA	NA	NA	1	1
Bufo marinus	Jason_Berry		NA	NA	1	NA	NA	NA
