species	UKOTs	n	remarks
Myiopsitta monachus	AI	5	To double check with local experts possible impacts on biodiversity of the different islands;interisland transfer e.g. Maynardi;knight anole;feral goat;feral chicken;reptiles resembling greens (e.g. chinese water dragon);feral dogs;Hybridization risk;moderate impact;high impact on KY, Recorded in GCM;high impact on KY, nb native subspp in CYB;present on KY;recorded in GCM, potentially high impact on KY, hybridization risk;Known introduction on KY, seems not to impact;Breeding in Grand Cayman;very high impact on KY, Serious invasive species problem;high impact on KY;Invasive throughout Grand Cayman;very high impact on KY;Found in GCM 2017;suspected  breeding on KY;breeding on KY;on KY;very high impact on KY, abundant in KY;Invasive in KY
Myiopsitta monachus	BM	5	To double check with local experts possible impacts on biodiversity of the different islands;interisland transfer e.g. Maynardi;knight anole;feral goat;feral chicken;reptiles resembling greens (e.g. chinese water dragon);feral dogs;Hybridization risk;moderate impact;high impact on KY, Recorded in GCM;high impact on KY, nb native subspp in CYB;present on KY;recorded in GCM, potentially high impact on KY, hybridization risk;Known introduction on KY, seems not to impact;Breeding in Grand Cayman;very high impact on KY, Serious invasive species problem;high impact on KY;Invasive throughout Grand Cayman;very high impact on KY;Found in GCM 2017;suspected  breeding on KY;breeding on KY;on KY;very high impact on KY, abundant in KY;Invasive in KY
Myiopsitta monachus	MS	5	To double check with local experts possible impacts on biodiversity of the different islands;interisland transfer e.g. Maynardi;knight anole;feral goat;feral chicken;reptiles resembling greens (e.g. chinese water dragon);feral dogs;Hybridization risk;moderate impact;high impact on KY, Recorded in GCM;high impact on KY, nb native subspp in CYB;present on KY;recorded in GCM, potentially high impact on KY, hybridization risk;Known introduction on KY, seems not to impact;Breeding in Grand Cayman;very high impact on KY, Serious invasive species problem;high impact on KY;Invasive throughout Grand Cayman;very high impact on KY;Found in GCM 2017;suspected  breeding on KY;breeding on KY;on KY;very high impact on KY, abundant in KY;Invasive in KY
Myiopsitta monachus	TC	5	To double check with local experts possible impacts on biodiversity of the different islands;interisland transfer e.g. Maynardi;knight anole;feral goat;feral chicken;reptiles resembling greens (e.g. chinese water dragon);feral dogs;Hybridization risk;moderate impact;high impact on KY, Recorded in GCM;high impact on KY, nb native subspp in CYB;present on KY;recorded in GCM, potentially high impact on KY, hybridization risk;Known introduction on KY, seems not to impact;Breeding in Grand Cayman;very high impact on KY, Serious invasive species problem;high impact on KY;Invasive throughout Grand Cayman;very high impact on KY;Found in GCM 2017;suspected  breeding on KY;breeding on KY;on KY;very high impact on KY, abundant in KY;Invasive in KY
Myiopsitta monachus	VG	5	To double check with local experts possible impacts on biodiversity of the different islands;interisland transfer e.g. Maynardi;knight anole;feral goat;feral chicken;reptiles resembling greens (e.g. chinese water dragon);feral dogs;Hybridization risk;moderate impact;high impact on KY, Recorded in GCM;high impact on KY, nb native subspp in CYB;present on KY;recorded in GCM, potentially high impact on KY, hybridization risk;Known introduction on KY, seems not to impact;Breeding in Grand Cayman;very high impact on KY, Serious invasive species problem;high impact on KY;Invasive throughout Grand Cayman;very high impact on KY;Found in GCM 2017;suspected  breeding on KY;breeding on KY;on KY;very high impact on KY, abundant in KY;Invasive in KY
Capra hircus	BM	4	To double check with local experts possible impacts on biodiversity of the different islands;interisland transfer e.g. Maynardi;knight anole;feral goat;feral chicken;reptiles resembling greens (e.g. chinese water dragon);feral dogs;Hybridization risk;moderate impact;high impact on KY, Recorded in GCM;high impact on KY, nb native subspp in CYB;present on KY;recorded in GCM, potentially high impact on KY, hybridization risk;Known introduction on KY, seems not to impact;Breeding in Grand Cayman;very high impact on KY, Serious invasive species problem;high impact on KY;Invasive throughout Grand Cayman;very high impact on KY;Found in GCM 2017;suspected  breeding on KY;breeding on KY;on KY;very high impact on KY, abundant in KY;Invasive in KY
Capra hircus	KY	4	To double check with local experts possible impacts on biodiversity of the different islands;interisland transfer e.g. Maynardi;knight anole;feral goat;feral chicken;reptiles resembling greens (e.g. chinese water dragon);feral dogs;Hybridization risk;moderate impact;high impact on KY, Recorded in GCM;high impact on KY, nb native subspp in CYB;present on KY;recorded in GCM, potentially high impact on KY, hybridization risk;Known introduction on KY, seems not to impact;Breeding in Grand Cayman;very high impact on KY, Serious invasive species problem;high impact on KY;Invasive throughout Grand Cayman;very high impact on KY;Found in GCM 2017;suspected  breeding on KY;breeding on KY;on KY;very high impact on KY, abundant in KY;Invasive in KY
Herpestes auropunctatus	KY	4	To double check with local experts possible impacts on biodiversity of the different islands;interisland transfer e.g. Maynardi;knight anole;feral goat;feral chicken;reptiles resembling greens (e.g. chinese water dragon);feral dogs;Hybridization risk;moderate impact;high impact on KY, Recorded in GCM;high impact on KY, nb native subspp in CYB;present on KY;recorded in GCM, potentially high impact on KY, hybridization risk;Known introduction on KY, seems not to impact;Breeding in Grand Cayman;very high impact on KY, Serious invasive species problem;high impact on KY;Invasive throughout Grand Cayman;very high impact on KY;Found in GCM 2017;suspected  breeding on KY;breeding on KY;on KY;very high impact on KY, abundant in KY;Invasive in KY
Iguana iguana	TC	4	To double check with local experts possible impacts on biodiversity of the different islands;interisland transfer e.g. Maynardi;knight anole;feral goat;feral chicken;reptiles resembling greens (e.g. chinese water dragon);feral dogs;Hybridization risk;moderate impact;high impact on KY, Recorded in GCM;high impact on KY, nb native subspp in CYB;present on KY;recorded in GCM, potentially high impact on KY, hybridization risk;Known introduction on KY, seems not to impact;Breeding in Grand Cayman;very high impact on KY, Serious invasive species problem;high impact on KY;Invasive throughout Grand Cayman;very high impact on KY;Found in GCM 2017;suspected  breeding on KY;breeding on KY;on KY;very high impact on KY, abundant in KY;Invasive in KY
Molothrus bonariensis	VG	4	To double check with local experts possible impacts on biodiversity of the different islands;interisland transfer e.g. Maynardi;knight anole;feral goat;feral chicken;reptiles resembling greens (e.g. chinese water dragon);feral dogs;Hybridization risk;moderate impact;high impact on KY, Recorded in GCM;high impact on KY, nb native subspp in CYB;present on KY;recorded in GCM, potentially high impact on KY, hybridization risk;Known introduction on KY, seems not to impact;Breeding in Grand Cayman;very high impact on KY, Serious invasive species problem;high impact on KY;Invasive throughout Grand Cayman;very high impact on KY;Found in GCM 2017;suspected  breeding on KY;breeding on KY;on KY;very high impact on KY, abundant in KY;Invasive in KY
