,,,,,,,,,,,,Impact mechanisms on species,,,,,,,,,Impact mechanisms on ecosystem function,,,
List_id,Rank,Species,Subgroup,Common Name,Taxonomic Group,Functional Group,Pathway,Origin,Bioregions threatened,Already present in EU?,Overall Risk,Competition,Predation,Hybridization,Disease Transmission,Parasitism,Poisoning/Toxicity,Bio-fouling,Grazing/herbivory/browsing,Interactions with other IAS,Nutrient cycling,Physical modification of habitat,Natural succession,Disruption to food webs
1,VERY HIGH,Alternanthera philoxeroides,Plants,Alligator-weed,Vascular plant,Primary prod,,SAm,"MAC, MED",Y,625,X,,,,,,,,,X,X,X,
3,VERY HIGH,Pterois miles,Marine,"devil firefish, lion fish","Scorpaeniformes, Scorpaenidae",Pred,Nat,"WIP, TeSAf","MED, MAC, ATL",Y,562.5,X,X,,,,X,,X,,,,,
4,VERY HIGH,Herpestes auropunctatus,Vertebrates,Small Asian mongoose,Mammals,Pred,"BC,Pet, Nat",Afr,"MED, CON",Y,562.5,X,X,,,,,,,X,,,,X
6,VERY HIGH,Callosciurus finlaysonii,Vertebrates,Finlayson's squirrel,Mammals,Herb,"Nat, Pet, BZA",AT,"ATL, MED, CON",Y,562.5,X,X,,X,,,,X,X,,X,,X
7,VERY HIGH,Lampropeltis getula,Vertebrates,Common Kingsnake,Reptiles,Pred,"Other, Pet, BZA",NAm,"MAC, MED",Y,506.25,X,X,,,,,,,,,,,X
8,VERY HIGH,Limnoperna fortunei,Freshwater,Golden mussel,Bivalve mollusc,Filter,"Ballast, Ship, Ang, Container, Water, Nat",As,"MED, ATL, CON, STE",N,500,X,,,,,,X,X,X,X,X,,X
9,VERY HIGH,Orconectes rusticus,Freshwater,Rusty crayfish,Crustacean,Omni,"F, Aq, Pet, Res, Live, Ship, Ballast, Water, Nat",NAm,"MED, ATL, CON, STE",N,500,X,X,,X,,,,X,X,X,X,,X
11,VERY HIGH,Penaeus aztecus,Marine,northern brown shrimp,,Omni,,TeNWA,"MED, MAC",Y,500,,,,,,,,,,,,,
13,VERY HIGH,Gambusia affinis,Freshwater,western mosquitofish,Fish,Omni,"BC, CNM",NAm,"MAC, MED, ATL, CON, STE",Y,475,X,X,,,,,,,,,,,X
