Search results from the CABI Horizon Scanning Tool <2018-05-16>,,,,,,,,,,,,,,
"Area at risk: Cayman Islands ; Source Countries: Cuba, USA/Florida, Mexico, Aldabra, Angola, Anguilla, Australia, Australia/Australian Northern Territory, Australia/Queensland, Australia/Western Australia, Bahamas, Bangladesh, Belize, Benin, Bolivia, Bonaire, Brazil, Brazil/Acre, Brazil/Amazonas, Brazil/Bahia, Brazil/Ceara, Brazil/Espirito Santo, Brazil/Fernando de Noronha, Brazil/Goias, Brazil/Maranhao, Brazil/Mato Grosso, Brazil/Mato Grosso do Sul, Brazil/Minas Gerais, Brazil/Para, Brazil/Paraiba, Brazil/Parana, Brazil/Pernambuco, Brazil/Piaui, Brazil/Rio de Janeiro, Brazil/Rio Grande do Norte, Brazil/Rondonia, Brazil/Roraima, Brazil/Sao Paulo, Brazil/Tocantins, British Virgin Islands, Burkina Faso, Burundi, Cambodia, Cameroon, Central African Republic, Chad, China, China/Guangdong, China/Hainan, Christmas Island (Indian Ocean), Cocos Islands, Colombia, Congo, Congo Democratic Republic, Costa Rica, Côte d'Ivoire, Cuba, Curaçao, Dominican Republic, East Timor, Ecuador, Ecuador/Galapagos Islands, El Salvador, Equatorial Guinea, Eritrea, Ethiopia, Gabon, Gambia, Ghana, Grenada, Grenada/Carriacou, Guatemala, Guinea, Guinea-Bissau, Guyana, Haiti, Honduras, India, India/Andhra Pradesh, India/Chhattisgarh, India/Dadra and Nagar Haveli, India/Daman, India/Diu, India/Goa, India/Gujarat, India/Indian Punjab, India/Jharkhand, India/Karnataka, India/Kerala, India/Madhya Pradesh, India/Maharashtra, India/Odisha, India/Puducherry, India/Rajasthan, India/Tamil Nadu, India/Tripura, India/West Bengal, Indonesia, Indonesia/Irian Jaya, Indonesia/Java, Indonesia/Moluccas, Indonesia/Nusa Tenggara, Indonesia/Sulawesi, Jamaica, Japan/Bonin Island, Japan/Ryukyu Archipelago, Kenya, Laos, Liberia, Madagascar, Malawi, Mali, Mexico, Midway Islands, Mozambique, Myanmar, Netherlands Antilles, New Caledonia, Nicaragua, Niger, Nigeria, Panama, Papua New Guinea, Paraguay, Peru, Philippines, Puerto Rico, Rwanda, Senegal, Sierra Leone, Sint Maarten, South Africa, Sudan, Swaziland, Taiwan, Tanzania, Thailand, Togo, Trinidad and Tobago, Turks and Caicos Islands, Uganda, US Minor Outlying Islands, USA, USA/Florida, Venezuela, Vietnam, Wake Island, Zambia, Zimbabwe ; Pathways: N/A (Including datasheets with no pathways data) ; Plant hosts: N/A ; Plant parts in trade: N/A  (Including datasheets with no plant part in trade data) ; Habitats: N/A  (Including datasheets with no habitats data) ; Taxonomic group: Vertebrates",,,,,,,,,,,,,,
"Citation: <CABI, <2018>. Horizon Scanning Tool. Crop Protection Compendium. Wallingford, UK: CAB International. https://www.cabi.org/cpc.>",,,,,,,,,,,,,,
For terms and conditions see: https://www.cabi.org/terms-and-conditions/,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Preferred scientific name,International common name,Taxonomic group,Compendia content,Datasheet Type,Domain,Kingdom,Phylum,Class,Order,Family,Habitats,Plant parts in trade,Pathways,Datasheet URL(s)
Abbottina rivularis,Chinese false gudgeon,Vertebrates,ISC (Full),Invasive Species,Eukaryota,Metazoa,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,,no data,,https://www.cabi.org/isc/datasheet/110570
Acanthogobius flavimanus,,Vertebrates,ISC (Full),Invasive Species,Eukaryota,Metazoa,Chordata,Actinopterygii,Perciformes,Gobiidae,,no data,,https://www.cabi.org/isc/datasheet/95431
Acanthurus sohal,Red Sea surgeonfish,Vertebrates,ISC (Basic),Invasive Species,Eukaryota,Metazoa,Chordata,Actinopterygii,Perciformes,Acanthuridae,no data,no data,no data,https://www.cabi.org/isc/datasheet/111991
Acentrogobius pflaumii,,Vertebrates,ISC (Full),Invasive Species,Eukaryota,Metazoa,Chordata,Actinopterygii,Perciformes,Gobiidae,,no data,,https://www.cabi.org/isc/datasheet/107779
Acridotheres fuscus,jungle myna,Vertebrates,ISC (Full),Invasive Species,Eukaryota,Metazoa,Chordata,Aves,Passeriformes,Sturnidae,,no data,no data,https://www.cabi.org/isc/datasheet/95671
Acridotheres tristis,common myna,Vertebrates,"CPC (Full) , ISC (Full)","Invasive Species,Vector of Plant Pest,Natural Enemy,Host Animal",Eukaryota,Metazoa,Chordata,Aves,Passeriformes,Sturnidae,,no data,,https://www.cabi.org/cpc/datasheet/2994; https://www.cabi.org/isc/datasheet/2994
Acrochordus javanicus,Javan Filesnake,Vertebrates,ISC (Basic),Invasive Species,Eukaryota,Metazoa,Chordata,Reptilia,Serpentes,Acrochordidae,no data,no data,no data,https://www.cabi.org/isc/datasheet/112031
Aequidens pulcher,blue acara,Vertebrates,ISC (Basic),Invasive Species,Eukaryota,Metazoa,Chordata,Actinopterygii,Perciformes,Cichlidae,no data,no data,no data,https://www.cabi.org/isc/datasheet/112048
Agamyxis pectinifrons,spotted rafael catfish,Vertebrates,ISC (Basic),Invasive Species,Eukaryota,Metazoa,Chordata,Aves,Psittaciformes,Psittacidae,no data,no data,no data,https://www.cabi.org/isc/datasheet/112054
Alopochen aegyptiaca,Egyptian goose,Vertebrates,ISC (Full),Invasive Species,Eukaryota,Metazoa,Chordata,Aves,Anseriformes,Anatidae,,no data,no data,https://www.cabi.org/isc/datasheet/94205
Alosa aestivalis,blueback herring,Vertebrates,ISC (Full),"Invasive Species,Host Animal",Eukaryota,Metazoa,Chordata,Actinopterygii,Clupeiformes,Clupeidae,,no data,,https://www.cabi.org/isc/datasheet/94209
Alosa pseudoharengus,alewife,Vertebrates,"CPC (Full) , ISC (Full)","Invasive Species,Natural Enemy,Host Animal",Eukaryota,Metazoa,Chordata,Actinopterygii,Clupeiformes,Clupeidae,,no data,no data,https://www.cabi.org/cpc/datasheet/94217; https://www.cabi.org/isc/datasheet/94217
Amatitlania nigrofasciata,convict cichlid,Vertebrates,ISC (Full),Invasive Species,Eukaryota,Metazoa,Chordata,Actinopterygii,Perciformes,Cichlidae,,no data,,https://www.cabi.org/isc/datasheet/112202
