species	UKOTs	remarks (optional)
Leiocephalus carinatus	TC	NA
Pantherophis alleghaniensis	TC	NA
Columba livia	TC	NA
Equus caballus	TC	NA
Equus asinus	TC	NA
Bos taurus	TC	NA
Hemidactylus mabouia	TC	NA
Chamaeleo calyptratus	TC	NA
Varanus exanthematicus	TC	NA
Dasypus novemcinctus	TC	NA
Petaurus breviceps	TC	NA
Atelerix albiventris	TC	NA
Atelerix algirus	TC	NA
Hemiechinus auritus	TC	NA
Atelerix hybrid	TC	NA
Octodon degus	TC	NA
Mesocricetus auratus	TC	NA
Phodopus roborovskii	TC	NA
Phodopus sungorus	TC	NA
Cricetulus griseus	TC	NA
Mephitis mephitis	TC	NA
Mustela putorius furo	TC	NA
Amazona sp.	TC	NA
Herpestes javanicus	TC	NA
Herpestes auropunctatus	TC	NA
Pogona viticeps	TC	NA
Testudo hermanii	TC	NA
Sauromalus ater	TC	NA
Eublepharis macularius	TC	NA
Xenopus laevis	TC	NA
