species	UKOTs	remarks (optional)
Gambusia sp.	AI, BM, KY, MS, TC, VG	To double check with local experts possible impacts on biodiversity of the different islands
Oreochromis sp.	AI, BM, KY, MS, TC, VG	To double check with local experts possible impacts on biodiversity of the different islands
Iguana iguana	BM, TC, VG	NA
Bufo marinus	MS	NA
Eleutherodactylus cocqui	AI, BM, KY, MS, TC, VG	NA
Molothrus bonariensis	AI, BM, KY, MS, TC, VG	NA
Myiopsitta monachus	AI, BM, MS, TC, VG	NA
Oryctolagus cuniculus	AI, BM, KY, MS, TC, VG	NA
Capra hircus	BM, KY, VG	NA
Anolis carolinensis	BM, KY, MS, TC, VG	NA
Tilapia zillii	AI, BM, KY, MS, TC, VG	To double check with local experts possible impacts on biodiversity of the different islands
Osteopilus septentrionalis	BM, MS	NA
Pantherophis guttatus	AI, BM, MS, TC, VG	NA
Sturnus vulgaris	AI, KY, MS, TC, VG	NA
Sus scrofa	AI, KY, TC, VG	NA
Gastrophryne carolinensis	AI, BM, MS, TC, VG	NA
Herpestes auropunctatus	KY, MS, TC	NA
Mus musculus	MS, TC	NA
Passer domesticus	AI, KY, MS, TC, VG	NA
