species	UKOTs	remarks (optional)
Acridotheres cristatellus	AI, BM, KY, MS, TC, VG	NA
Acridotheres tristis	AI, BM, KY, MS, TC, VG	interisland transfer e.g. Maynardi
Amazona auropalliata	AI, BM, KY, MS, TC, VG	NA
Amazona ochrocephala	AI, BM, MS, TC, VG	NA
Anolis equestris	AI, BM, MS, TC, VG	knight anole
Bufo marinus	TC, VG	NA
Capra hircus	AI, BM, KY, MS, TC	feral goat
Felis catus	AI, BM, MS	NA
Gallus gallus	MS, TC	feral chicken
Iguana iguana	AI, BM, TC	NA
Mustela erminea	AI, BM, KY, MS, TC, VG	NA
Mustela nivalis	AI, BM, KY, MS, TC, VG	NA
Myiopsitta monachus	AI, BM, MS, TC, VG	NA
Physignathus cocincinus	AI, BM, KY, MS, TC, VG	reptiles resembling greens (e.g. chinese water dragon)
Procyon lotor	AI, BM, KY, MS, TC, VG	NA
Python molurus bivittatus	AI, BM, KY, MS, TC, VG	NA
Python regius	AI, BM, KY, MS, TC, VG	NA
Rattus norvegicus	AI, MS, TC, VG	NA
Rattus rattus	AI, TC, MS, VG	NA
Streptopelia decaocto	AI, BM, MS, TC, VG	NA
Canis familiaris	AI, BM, KY, MS, TC, VG	feral dogs
Trachemys scripta	AI, BM, MS, TC, VG	NA
Aratinga erythrogenys	AI, BM, MS, TC, VG	NA
Aratinga pertinax	AI, BM, KY, MS, TC, VG	NA
Aratinga solstitialis	AI, BM, KY, MS, TC, VG	NA
Psittacula krameri	AI, BM, KY, MS, TC, VG	NA
Forpus passerinus	AI, BM, KY, MS, TC, VG	NA
