species	UKOTs	remarks (optional)
Acridotheres cristatellus	AI, BM, KY, MS, TC, VG	NA
Acridotheres tristis	AI, BM, KY, MS, TC, VG	NA
Anolis carolinensis	AI, BM, MS, TC, VG	NA
Anolis equestris	AI, BM, MS, TC, VG	NA
Anolis grahami	AI, KY, MS, TC, VG	NA
Anolis sagrei	AI, BM, MS	NA
Aratinga erythrogenys	AI, BM, MS, TC, VG	NA
Boiga irregularis	AI, BM, KY, MS, TC, VG	NA
Canis familiaris	AI, BM, MS, TC, VG	NA
Capra hircus	AI, BM, KY, MS, TC	NA
Chrysemys picta	AI, BM, KY, MS, TC, VG	NA
Cyclura nubila	KY	NA
Elaphe guttata	AI, BM, MS, TC, VG	NA
Hemidactylus frenatus	AI, BM, KY, MS, TC, VG	NA
Herpestes auropunctatus	KY, MS, TC, VG	NA
Lampropeltis getula	AI, BM, KY, MS, TC, VG	NA
Molothrus bonariensis	AI, BM, MS, TC, VG	NA
Mustela erminea	AI, BM, KY, MS, TC, VG	if in trade
Mustela nivalis	AI, BM, KY, MS, TC, VG	if in trade
Myiopsitta monachus	AI, BM, MS, TC, VG	NA
Pitangus sulphuratus	AI, KY, MS, TC, VG	NA
Procyon lotor	AI, BM, KY, MS, TC, VG	NA
Psittacula eupatria	AI, BM, KY, MS, TC, VG	NA
Pycnonotus cafer	AI, BM, KY, MS, TC, VG	NA
Python molurus bivittatus	AI, BM, KY, MS, TC, VG	NA
Rattus norvegicus	AI, MS, TC, VG	if not on all islands
Rattus rattus	AI, TC, MS, VG	if not on all islands
Sus scrofa	AI, BM, KY, MS, TC, VG	NA
Trachemys scripta	AI, BM, MS, TC, VG	NA
Passer domesticus	AI, KY, MS, TC, VG	NA
Sturnus vulgaris	AI, KY, MS, TC, VG	NA
Chlorocebus pygerythrus	AI	on Anguilla
