Species	AI	BM	KY	MS	TC	VG	organism_type	synonyms	common_names	broad_habitat	exotic_in	invasive_in	main_reference	checklist	origin	phylum
Amazona ochrocephala	NA	NA	41	NA	NA	NA	Vertebrate - Bird	NA	"yellow-crowned amazon parrot;yellow -crowned
parrot;"	Terrestrial	Curacao;Trinidad?	NA	"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"	Caribbean_IAS_db	NA	NA
Anas platyrhynchos	NA	1857	NA	NA	NA	NA	Vertebrate - Bird	NA	NA	terrestrial	Cayman Islands;Bermuda;	NA	"ISSG, 2011. Global Invasive Species Database (GISD). Invasive
Species Specialist Group of the IUCN Species Survival Commission.
http://www.issg.org/database"	Caribbean_IAS_db	NA	NA
Anolis carolinensis	2	1	1	NA	1	NA	Vertebrate - Reptile	NA	NA	Terrestrial	Anguilla;Cayman Islands;	Anguilla;	"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"	Caribbean_IAS_db, GRIIS	Alien	Chordata
Anolis equestris	NA	NA	NA	NA	NA	NA	Vertebrate - Reptile	NA	NA	terrestrial	Cayman Islands;	NA	"ISSG, 2011. Global Invasive Species Database (GISD). Invasive
Species Specialist Group of the IUCN Species Survival Commission.
http://www.issg.org/database"	Caribbean_IAS_db	NA	NA
Anolis grahami	NA	608	17	NA	NA	NA	vertebrate - Reptile	NA	NA	terrestrial	NA	NA	NA	GRIIS	Alien	Chordata
Anolis sagrei	2	NA	362	NA	6	8	Vertebrate - Reptile	NA	NA	Terrestrial	Grenada;	Grenada;	"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"	Caribbean_IAS_db, GRIIS	Alien	Chordata
Aratinga erythrogenys	NA	NA	NA	NA	NA	NA	Vertebrate - Bird	NA	Red-masked conure	Terrestrial	NA	NA	NA	expert check	NA	NA
Aratinga pertinax	NA	NA	NA	NA	NA	3	Vertebrate - Bird	NA	Brown-throated parakeet	Terrestrial	Trinidad;	Trinidad;	"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"	Caribbean_IAS_db	NA	NA
Boa constrictor imperator	NA	NA	NA	NA	NA	NA	Vertebrate - Reptile	NA	NA	terrestrial	Puerto Rico;Aruba;	Puerto Rico;Aruba;	"ISSG, 2011. Global Invasive Species Database (GISD). Invasive
Species Specialist Group of the IUCN Species Survival Commission.
http://www.issg.org/database"	Caribbean_IAS_db	NA	NA
Bufo marinus	NA	NA	NA	NA	NA	NA	"Vertebrate -
Amphibian"	Rhinella marina	"Bullfrog;Maco toro (DR);Maco pempen (Dom
Rep);cane toad;Bufo Toad;Marine Toad;"	Freshwater	"Jamaica;Dominican Republic;Aruba;Anguilla;Barbados;Montserrat;St. Vincent-
Grenadines;Haiti;Hispaniola;British Virgin Islands;Cayman Islands (Grand
Cayman);Bermuda;Puerto Rico;US Virgin Islands (St. Croix,
St.Thomas);Martinique;St. Lucia;Grenada;Guadeloupe;Antigua-Barbuda;St. Kitts-
Nevis;"	"Jamaica;Dominican
Republic;Aruba;Anguilla;Barbados;Montserrat;St. Vincent-
Grenadines;Haiti;Hispaniola;Bermuda;Cayman Islands (Grand
Cayman);Guadeloupe;Martinique;"	"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"	Caribbean_IAS_db	NA	NA
